pincode,office_name,district,state
570006,Mysuru Head Office Sub-Post Office #5,Mysuru,Karnataka
570007,Mysuru Head Office Sub-Post Office #6,Mysuru,Karnataka
570008,Mysuru Head Office Sub-Post Office #7,Mysuru,Karnataka
570009,Mysuru Head Office Sub-Post Office #8,Mysuru,Karnataka
570010,Mysuru Head Office Sub-Post Office #9,Mysuru,Karnataka
570011,Mysuru Head Office Sub-Post Office #10,Mysuru,Karnataka
570012,Mysuru Head Office Sub-Post Office #11,Mysuru,Karnataka
570013,Mysuru Head Office Sub-Post Office #12,Mysuru,Karnataka
570014,Mysuru Head Office Sub-Post Office #13,Mysuru,Karnataka
570015,Mysuru Head Office Sub-Post Office #14,Mysuru,Karnataka
574996,Mangaluru HO Sub-Post Office #5,Dakshina Kannada,Karnataka
574997,Mangaluru HO Sub-Post Office #4,Dakshina Kannada,Karnataka
574998,Mangaluru HO Sub-Post Office #3,Dakshina Kannada,Karnataka
574999,Mangaluru HO Sub-Post Office #2,Dakshina Kannada,Karnataka
575000,Mangaluru HO Sub-Post Office #1,Dakshina Kannada,Karnataka
575002,Mangaluru HO Sub-Post Office #1,Dakshina Kannada,Karnataka
575003,Mangaluru HO Sub-Post Office #2,Dakshina Kannada,Karnataka
575004,Mangaluru HO Sub-Post Office #3,Dakshina Kannada,Karnataka
575005,Mangaluru HO Sub-Post Office #4,Dakshina Kannada,Karnataka
575006,Mangaluru HO Sub-Post Office #5,Dakshina Kannada,Karnataka
575007,Mangaluru HO Sub-Post Office #6,Dakshina Kannada,Karnataka
575008,Mangaluru HO Sub-Post Office #7,Dakshina Kannada,Karnataka
575009,Mangaluru HO Sub-Post Office #8,Dakshina Kannada,Karnataka
575010,Mangaluru HO Sub-Post Office #9,Dakshina Kannada,Karnataka
575011,Mangaluru HO Sub-Post Office #10,Dakshina Kannada,Karnataka
575012,Mangaluru HO Sub-Post Office #11,Dakshina Kannada,Karnataka
575013,Mangaluru HO Sub-Post Office #12,Dakshina Kannada,Karnataka
575014,Mangaluru HO Sub-Post Office #13,Dakshina Kannada,Karnataka
575015,Mangaluru HO Sub-Post Office #14,Dakshina Kannada,Karnataka
579996,Hubballi HO Sub-Post Office #5,Dharwad,Karnataka
579997,Hubballi HO Sub-Post Office #4,Dharwad,Karnataka
579998,Hubballi HO Sub-Post Office #3,Dharwad,Karnataka
579999,Hubballi HO Sub-Post Office #2,Dharwad,Karnataka
580000,Hubballi HO Sub-Post Office #1,Dharwad,Karnataka
580002,Hubballi HO Sub-Post Office #1,Dharwad,Karnataka
580003,Hubballi HO Sub-Post Office #2,Dharwad,Karnataka
580004,Hubballi HO Sub-Post Office #3,Dharwad,Karnataka
580005,Hubballi HO Sub-Post Office #4,Dharwad,Karnataka
580006,Hubballi HO Sub-Post Office #5,Dharwad,Karnataka
580007,Hubballi HO Sub-Post Office #6,Dharwad,Karnataka
580008,Hubballi HO Sub-Post Office #7,Dharwad,Karnataka
580009,Hubballi HO Sub-Post Office #8,Dharwad,Karnataka
580010,Hubballi HO Sub-Post Office #9,Dharwad,Karnataka
580011,Hubballi HO Sub-Post Office #10,Dharwad,Karnataka
580012,Hubballi HO Sub-Post Office #11,Dharwad,Karnataka
580013,Hubballi HO Sub-Post Office #12,Dharwad,Karnataka
580014,Hubballi HO Sub-Post Office #13,Dharwad,Karnataka
580015,Hubballi HO Sub-Post Office #14,Dharwad,Karnataka
589996,Belagavi HO Sub-Post Office #5,Belagavi,Karnataka
589997,Belagavi HO Sub-Post Office #4,Belagavi,Karnataka
589998,Belagavi HO Sub-Post Office #3,Belagavi,Karnataka
589999,Belagavi HO Sub-Post Office #2,Belagavi,Karnataka
590000,Belagavi HO Sub-Post Office #1,Belagavi,Karnataka
590002,Belagavi HO Sub-Post Office #1,Belagavi,Karnataka
590003,Belagavi HO Sub-Post Office #2,Belagavi,Karnataka
590004,Belagavi HO Sub-Post Office #3,Belagavi,Karnataka
590005,Belagavi HO Sub-Post Office #4,Belagavi,Karnataka
590006,Belagavi HO Sub-Post Office #5,Belagavi,Karnataka
590007,Belagavi HO Sub-Post Office #6,Belagavi,Karnataka
590008,Belagavi HO Sub-Post Office #7,Belagavi,Karnataka
590009,Belagavi HO Sub-Post Office #8,Belagavi,Karnataka
590010,Belagavi HO Sub-Post Office #9,Belagavi,Karnataka
590011,Belagavi HO Sub-Post Office #10,Belagavi,Karnataka
590012,Belagavi HO Sub-Post Office #11,Belagavi,Karnataka
590013,Belagavi HO Sub-Post Office #12,Belagavi,Karnataka
590014,Belagavi HO Sub-Post Office #13,Belagavi,Karnataka
590015,Belagavi HO Sub-Post Office #14,Belagavi,Karnataka
499996,Hyderabad GPO Sub-Post Office #5,Hyderabad,Telangana
499997,Hyderabad GPO Sub-Post Office #4,Hyderabad,Telangana
499998,Hyderabad GPO Sub-Post Office #3,Hyderabad,Telangana
499999,Hyderabad GPO Sub-Post Office #2,Hyderabad,Telangana
500000,Hyderabad GPO Sub-Post Office #1,Hyderabad,Telangana
500002,Hyderabad GPO Sub-Post Office #1,Hyderabad,Telangana
500003,Hyderabad GPO Sub-Post Office #2,Hyderabad,Telangana
500004,Hyderabad GPO Sub-Post Office #3,Hyderabad,Telangana
500005,Hyderabad GPO Sub-Post Office #4,Hyderabad,Telangana
500006,Hyderabad GPO Sub-Post Office #5,Hyderabad,Telangana
500007,Hyderabad GPO Sub-Post Office #6,Hyderabad,Telangana
500008,Hyderabad GPO Sub-Post Office #7,Hyderabad,Telangana
500009,Hyderabad GPO Sub-Post Office #8,Hyderabad,Telangana
500010,Hyderabad GPO Sub-Post Office #9,Hyderabad,Telangana
500011,Hyderabad GPO Sub-Post Office #10,Hyderabad,Telangana
500012,Hyderabad GPO Sub-Post Office #11,Hyderabad,Telangana
500013,Hyderabad GPO Sub-Post Office #12,Hyderabad,Telangana
500014,Hyderabad GPO Sub-Post Office #13,Hyderabad,Telangana
500015,Hyderabad GPO Sub-Post Office #14,Hyderabad,Telangana
500016,Secunderabad HO Sub-Post Office #13,Hyderabad,Telangana
500017,Secunderabad HO Sub-Post Office #14,Hyderabad,Telangana
500018,Begumpet Sub-Post Office #2,Hyderabad,Telangana
500019,Begumpet Sub-Post Office #3,Hyderabad,Telangana
500020,Begumpet Sub-Post Office #4,Hyderabad,Telangana
500021,Begumpet Sub-Post Office #5,Hyderabad,Telangana
500022,Begumpet Sub-Post Office #6,Hyderabad,Telangana
500023,Begumpet Sub-Post Office #7,Hyderabad,Telangana
500024,Begumpet Sub-Post Office #8,Hyderabad,Telangana
500025,Begumpet Sub-Post Office #9,Hyderabad,Telangana
500026,Begumpet Sub-Post Office #10,Hyderabad,Telangana
500027,Begumpet Sub-Post Office #11,Hyderabad,Telangana
500028,Begumpet Sub-Post Office #12,Hyderabad,Telangana
500029,Begumpet Sub-Post Office #13,Hyderabad,Telangana
500030,Begumpet Sub-Post Office #14,Hyderabad,Telangana
500031,Gachibowli Sub-Post Office #1,Rangareddy,Telangana
500033,Gachibowli Sub-Post Office #1,Rangareddy,Telangana
500034,Gachibowli Sub-Post Office #2,Rangareddy,Telangana
500035,Gachibowli Sub-Post Office #3,Rangareddy,Telangana
500036,Gachibowli Sub-Post Office #4,Rangareddy,Telangana
500037,Gachibowli Sub-Post Office #5,Rangareddy,Telangana
500038,Gachibowli Sub-Post Office #6,Rangareddy,Telangana
500039,Gachibowli Sub-Post Office #7,Rangareddy,Telangana
500040,Gachibowli Sub-Post Office #8,Rangareddy,Telangana
500041,Gachibowli Sub-Post Office #9,Rangareddy,Telangana
500042,Gachibowli Sub-Post Office #10,Rangareddy,Telangana
500043,Gachibowli Sub-Post Office #11,Rangareddy,Telangana
500044,Gachibowli Sub-Post Office #12,Rangareddy,Telangana
500045,Gachibowli Sub-Post Office #13,Rangareddy,Telangana
500046,Gachibowli Sub-Post Office #14,Rangareddy,Telangana
500047,Jubilee Hills Sub-Post Office #14,Hyderabad,Telangana
500048,Banjara Hills Sub-Post Office #14,Hyderabad,Telangana
500049,Uppal Sub-Post Office #10,Medchal-Malkajgiri,Telangana
500050,Uppal Sub-Post Office #11,Medchal-Malkajgiri,Telangana
500051,Uppal Sub-Post Office #12,Medchal-Malkajgiri,Telangana
500052,Uppal Sub-Post Office #13,Medchal-Malkajgiri,Telangana
500053,Uppal Sub-Post Office #14,Medchal-Malkajgiri,Telangana
500067,Kukatpally Sub-Post Office #5,Medchal-Malkajgiri,Telangana
500068,Kukatpally Sub-Post Office #4,Medchal-Malkajgiri,Telangana
500069,Kukatpally Sub-Post Office #3,Medchal-Malkajgiri,Telangana
500070,Kukatpally Sub-Post Office #2,Medchal-Malkajgiri,Telangana
500071,Kukatpally Sub-Post Office #1,Medchal-Malkajgiri,Telangana
500073,Kukatpally Sub-Post Office #1,Medchal-Malkajgiri,Telangana
500074,Kukatpally Sub-Post Office #2,Medchal-Malkajgiri,Telangana
500075,Kukatpally Sub-Post Office #3,Medchal-Malkajgiri,Telangana
500076,Kukatpally Sub-Post Office #4,Medchal-Malkajgiri,Telangana
500077,Kukatpally Sub-Post Office #5,Medchal-Malkajgiri,Telangana
500078,Kukatpally Sub-Post Office #6,Medchal-Malkajgiri,Telangana
500079,Kukatpally Sub-Post Office #7,Medchal-Malkajgiri,Telangana
500080,Kukatpally Sub-Post Office #8,Medchal-Malkajgiri,Telangana
500081,Kukatpally Sub-Post Office #9,Medchal-Malkajgiri,Telangana
500082,Kukatpally Sub-Post Office #10,Medchal-Malkajgiri,Telangana
500083,Kukatpally Sub-Post Office #11,Medchal-Malkajgiri,Telangana
500084,Kukatpally Sub-Post Office #12,Medchal-Malkajgiri,Telangana
500085,Kukatpally Sub-Post Office #13,Medchal-Malkajgiri,Telangana
500086,Kukatpally Sub-Post Office #14,Medchal-Malkajgiri,Telangana
500087,Hitech City / Madhapur Sub-Post Office #6,Hyderabad,Telangana
500088,Hitech City / Madhapur Sub-Post Office #7,Hyderabad,Telangana
500089,Hitech City / Madhapur Sub-Post Office #8,Hyderabad,Telangana
500090,Hitech City / Madhapur Sub-Post Office #9,Hyderabad,Telangana
500091,Hitech City / Madhapur Sub-Post Office #10,Hyderabad,Telangana
500092,Hitech City / Madhapur Sub-Post Office #11,Hyderabad,Telangana
500093,Hitech City / Madhapur Sub-Post Office #12,Hyderabad,Telangana
500094,Hitech City / Madhapur Sub-Post Office #13,Hyderabad,Telangana
500095,Hitech City / Madhapur Sub-Post Office #14,Hyderabad,Telangana
500096,Kondapur Sub-Post Office #12,Rangareddy,Telangana
500097,Kondapur Sub-Post Office #13,Rangareddy,Telangana
500098,Kondapur Sub-Post Office #14,Rangareddy,Telangana
505996,Warangal HO Sub-Post Office #5,Warangal,Telangana
505997,Warangal HO Sub-Post Office #4,Warangal,Telangana
505998,Warangal HO Sub-Post Office #3,Warangal,Telangana
505999,Warangal HO Sub-Post Office #2,Warangal,Telangana
506000,Warangal HO Sub-Post Office #1,Warangal,Telangana
506002,Warangal HO Sub-Post Office #1,Warangal,Telangana
506003,Warangal HO Sub-Post Office #2,Warangal,Telangana
506004,Warangal HO Sub-Post Office #3,Warangal,Telangana
506005,Warangal HO Sub-Post Office #4,Warangal,Telangana
506006,Warangal HO Sub-Post Office #5,Warangal,Telangana
506007,Warangal HO Sub-Post Office #6,Warangal,Telangana
506008,Warangal HO Sub-Post Office #7,Warangal,Telangana
506009,Warangal HO Sub-Post Office #8,Warangal,Telangana
506010,Warangal HO Sub-Post Office #9,Warangal,Telangana
506011,Warangal HO Sub-Post Office #10,Warangal,Telangana
506012,Warangal HO Sub-Post Office #11,Warangal,Telangana
506013,Warangal HO Sub-Post Office #12,Warangal,Telangana
506014,Warangal HO Sub-Post Office #13,Warangal,Telangana
506015,Warangal HO Sub-Post Office #14,Warangal,Telangana
529996,Visakhapatnam HO Sub-Post Office #5,Visakhapatnam,Andhra Pradesh
529997,Visakhapatnam HO Sub-Post Office #4,Visakhapatnam,Andhra Pradesh
529998,Visakhapatnam HO Sub-Post Office #3,Visakhapatnam,Andhra Pradesh
529999,Visakhapatnam HO Sub-Post Office #2,Visakhapatnam,Andhra Pradesh
530000,Visakhapatnam HO Sub-Post Office #1,Visakhapatnam,Andhra Pradesh
530002,Visakhapatnam HO Sub-Post Office #1,Visakhapatnam,Andhra Pradesh
530003,Visakhapatnam HO Sub-Post Office #2,Visakhapatnam,Andhra Pradesh
530004,Visakhapatnam HO Sub-Post Office #3,Visakhapatnam,Andhra Pradesh
530005,Visakhapatnam HO Sub-Post Office #4,Visakhapatnam,Andhra Pradesh
530006,Visakhapatnam HO Sub-Post Office #5,Visakhapatnam,Andhra Pradesh
530007,Visakhapatnam HO Sub-Post Office #6,Visakhapatnam,Andhra Pradesh
530008,Visakhapatnam HO Sub-Post Office #7,Visakhapatnam,Andhra Pradesh
530009,Visakhapatnam HO Sub-Post Office #8,Visakhapatnam,Andhra Pradesh
530010,Visakhapatnam HO Sub-Post Office #9,Visakhapatnam,Andhra Pradesh
530011,Visakhapatnam HO Sub-Post Office #10,Visakhapatnam,Andhra Pradesh
530012,Visakhapatnam HO Sub-Post Office #11,Visakhapatnam,Andhra Pradesh
530013,Visakhapatnam HO Sub-Post Office #12,Visakhapatnam,Andhra Pradesh
530014,Visakhapatnam HO Sub-Post Office #13,Visakhapatnam,Andhra Pradesh
530015,Visakhapatnam HO Sub-Post Office #14,Visakhapatnam,Andhra Pradesh
519996,Vijayawada HO Sub-Post Office #5,NTR District,Andhra Pradesh
519997,Vijayawada HO Sub-Post Office #4,NTR District,Andhra Pradesh
519998,Vijayawada HO Sub-Post Office #3,NTR District,Andhra Pradesh
519999,Vijayawada HO Sub-Post Office #2,NTR District,Andhra Pradesh
520000,Vijayawada HO Sub-Post Office #1,NTR District,Andhra Pradesh
520002,Vijayawada HO Sub-Post Office #1,NTR District,Andhra Pradesh
520003,Vijayawada HO Sub-Post Office #2,NTR District,Andhra Pradesh
520004,Vijayawada HO Sub-Post Office #3,NTR District,Andhra Pradesh
520005,Vijayawada HO Sub-Post Office #4,NTR District,Andhra Pradesh
520006,Vijayawada HO Sub-Post Office #5,NTR District,Andhra Pradesh
520007,Vijayawada HO Sub-Post Office #6,NTR District,Andhra Pradesh
520008,Vijayawada HO Sub-Post Office #7,NTR District,Andhra Pradesh
520009,Vijayawada HO Sub-Post Office #8,NTR District,Andhra Pradesh
520010,Vijayawada HO Sub-Post Office #9,NTR District,Andhra Pradesh
520011,Vijayawada HO Sub-Post Office #10,NTR District,Andhra Pradesh
520012,Vijayawada HO Sub-Post Office #11,NTR District,Andhra Pradesh
520013,Vijayawada HO Sub-Post Office #12,NTR District,Andhra Pradesh
520014,Vijayawada HO Sub-Post Office #13,NTR District,Andhra Pradesh
520015,Vijayawada HO Sub-Post Office #14,NTR District,Andhra Pradesh
521996,Guntur HO Sub-Post Office #5,Guntur,Andhra Pradesh
521997,Guntur HO Sub-Post Office #4,Guntur,Andhra Pradesh
521998,Guntur HO Sub-Post Office #3,Guntur,Andhra Pradesh
521999,Guntur HO Sub-Post Office #2,Guntur,Andhra Pradesh
522000,Guntur HO Sub-Post Office #1,Guntur,Andhra Pradesh
522002,Guntur HO Sub-Post Office #1,Guntur,Andhra Pradesh
522003,Guntur HO Sub-Post Office #2,Guntur,Andhra Pradesh
522004,Guntur HO Sub-Post Office #3,Guntur,Andhra Pradesh
522005,Guntur HO Sub-Post Office #4,Guntur,Andhra Pradesh
522006,Guntur HO Sub-Post Office #5,Guntur,Andhra Pradesh
522007,Guntur HO Sub-Post Office #6,Guntur,Andhra Pradesh
522008,Guntur HO Sub-Post Office #7,Guntur,Andhra Pradesh
522009,Guntur HO Sub-Post Office #8,Guntur,Andhra Pradesh
522010,Guntur HO Sub-Post Office #9,Guntur,Andhra Pradesh
522011,Guntur HO Sub-Post Office #10,Guntur,Andhra Pradesh
522012,Guntur HO Sub-Post Office #11,Guntur,Andhra Pradesh
522013,Guntur HO Sub-Post Office #12,Guntur,Andhra Pradesh
522014,Guntur HO Sub-Post Office #13,Guntur,Andhra Pradesh
522015,Guntur HO Sub-Post Office #14,Guntur,Andhra Pradesh
517496,Tirupati HO Sub-Post Office #5,Tirupati,Andhra Pradesh
517497,Tirupati HO Sub-Post Office #4,Tirupati,Andhra Pradesh
517498,Tirupati HO Sub-Post Office #3,Tirupati,Andhra Pradesh
517499,Tirupati HO Sub-Post Office #2,Tirupati,Andhra Pradesh
517500,Tirupati HO Sub-Post Office #1,Tirupati,Andhra Pradesh
517502,Tirupati HO Sub-Post Office #1,Tirupati,Andhra Pradesh
517503,Tirupati HO Sub-Post Office #2,Tirupati,Andhra Pradesh
517504,Tirupati HO Sub-Post Office #3,Tirupati,Andhra Pradesh
517505,Tirupati HO Sub-Post Office #4,Tirupati,Andhra Pradesh
517506,Tirupati HO Sub-Post Office #5,Tirupati,Andhra Pradesh
517507,Tirupati HO Sub-Post Office #6,Tirupati,Andhra Pradesh
517508,Tirupati HO Sub-Post Office #7,Tirupati,Andhra Pradesh
517509,Tirupati HO Sub-Post Office #8,Tirupati,Andhra Pradesh
517510,Tirupati HO Sub-Post Office #9,Tirupati,Andhra Pradesh
517511,Tirupati HO Sub-Post Office #10,Tirupati,Andhra Pradesh
517512,Tirupati HO Sub-Post Office #11,Tirupati,Andhra Pradesh
517513,Tirupati HO Sub-Post Office #12,Tirupati,Andhra Pradesh
517514,Tirupati HO Sub-Post Office #13,Tirupati,Andhra Pradesh
517515,Tirupati HO Sub-Post Office #14,Tirupati,Andhra Pradesh
399996,Mumbai GPO Sub-Post Office #5,Mumbai,Maharashtra
399997,Mumbai GPO Sub-Post Office #4,Mumbai,Maharashtra
399998,Mumbai GPO Sub-Post Office #3,Mumbai,Maharashtra
399999,Mumbai GPO Sub-Post Office #2,Mumbai,Maharashtra
400000,Mumbai GPO Sub-Post Office #1,Mumbai,Maharashtra
400002,Mumbai GPO Sub-Post Office #1,Mumbai,Maharashtra
400003,Mumbai GPO Sub-Post Office #2,Mumbai,Maharashtra
400004,Mumbai GPO Sub-Post Office #3,Mumbai,Maharashtra
400005,Mumbai GPO Sub-Post Office #4,Mumbai,Maharashtra
400006,Mumbai GPO Sub-Post Office #5,Mumbai,Maharashtra
400007,Mumbai GPO Sub-Post Office #6,Mumbai,Maharashtra
400008,Mumbai GPO Sub-Post Office #7,Mumbai,Maharashtra
400009,Mumbai GPO Sub-Post Office #8,Mumbai,Maharashtra
400010,Mumbai GPO Sub-Post Office #9,Mumbai,Maharashtra
400011,Mumbai GPO Sub-Post Office #10,Mumbai,Maharashtra
400012,Mumbai GPO Sub-Post Office #11,Mumbai,Maharashtra
400013,Mumbai GPO Sub-Post Office #12,Mumbai,Maharashtra
400014,Mumbai GPO Sub-Post Office #13,Mumbai,Maharashtra
400015,Mumbai GPO Sub-Post Office #14,Mumbai,Maharashtra
400016,Colaba Sub-Post Office #11,Mumbai,Maharashtra
400017,Colaba Sub-Post Office #12,Mumbai,Maharashtra
400018,Colaba Sub-Post Office #13,Mumbai,Maharashtra
400019,Colaba Sub-Post Office #14,Mumbai,Maharashtra
400020,Lower Parel Sub-Post Office #7,Mumbai,Maharashtra
400021,Lower Parel Sub-Post Office #8,Mumbai,Maharashtra
400022,Lower Parel Sub-Post Office #9,Mumbai,Maharashtra
400023,Lower Parel Sub-Post Office #10,Mumbai,Maharashtra
400024,Lower Parel Sub-Post Office #11,Mumbai,Maharashtra
400025,Lower Parel Sub-Post Office #12,Mumbai,Maharashtra
400026,Lower Parel Sub-Post Office #13,Mumbai,Maharashtra
400027,Lower Parel Sub-Post Office #14,Mumbai,Maharashtra
400028,Churchgate Sub-Post Office #8,Mumbai,Maharashtra
400029,Churchgate Sub-Post Office #9,Mumbai,Maharashtra
400030,Churchgate Sub-Post Office #10,Mumbai,Maharashtra
400031,Churchgate Sub-Post Office #11,Mumbai,Maharashtra
400032,Churchgate Sub-Post Office #12,Mumbai,Maharashtra
400033,Churchgate Sub-Post Office #13,Mumbai,Maharashtra
400034,Churchgate Sub-Post Office #14,Mumbai,Maharashtra
400045,Bandra West Sub-Post Office #5,Mumbai Suburban,Maharashtra
400046,Bandra West Sub-Post Office #4,Mumbai Suburban,Maharashtra
400047,Bandra West Sub-Post Office #3,Mumbai Suburban,Maharashtra
400048,Bandra West Sub-Post Office #2,Mumbai Suburban,Maharashtra
400049,Bandra West Sub-Post Office #1,Mumbai Suburban,Maharashtra
400051,Bandra West Sub-Post Office #1,Mumbai Suburban,Maharashtra
400052,Bandra West Sub-Post Office #2,Mumbai Suburban,Maharashtra
400053,Bandra West Sub-Post Office #3,Mumbai Suburban,Maharashtra
400054,Bandra West Sub-Post Office #4,Mumbai Suburban,Maharashtra
400055,Bandra West Sub-Post Office #5,Mumbai Suburban,Maharashtra
400056,Bandra West Sub-Post Office #6,Mumbai Suburban,Maharashtra
400057,Bandra West Sub-Post Office #7,Mumbai Suburban,Maharashtra
400058,Bandra West Sub-Post Office #8,Mumbai Suburban,Maharashtra
400059,Bandra West Sub-Post Office #9,Mumbai Suburban,Maharashtra
400060,Bandra West Sub-Post Office #10,Mumbai Suburban,Maharashtra
400061,Bandra West Sub-Post Office #11,Mumbai Suburban,Maharashtra
400062,Bandra West Sub-Post Office #12,Mumbai Suburban,Maharashtra
400063,Bandra West Sub-Post Office #13,Mumbai Suburban,Maharashtra
400064,Bandra West Sub-Post Office #14,Mumbai Suburban,Maharashtra
400065,Bandra East Sub-Post Office #14,Mumbai Suburban,Maharashtra
400066,Andheri West Sub-Post Office #13,Mumbai Suburban,Maharashtra
400067,Andheri West Sub-Post Office #14,Mumbai Suburban,Maharashtra
400068,Andheri East Sub-Post Office #1,Mumbai Suburban,Maharashtra
400070,Andheri East Sub-Post Office #1,Mumbai Suburban,Maharashtra
400071,Andheri East Sub-Post Office #2,Mumbai Suburban,Maharashtra
400072,Andheri East Sub-Post Office #3,Mumbai Suburban,Maharashtra
400073,Andheri East Sub-Post Office #4,Mumbai Suburban,Maharashtra
400074,Andheri East Sub-Post Office #5,Mumbai Suburban,Maharashtra
400075,Andheri East Sub-Post Office #6,Mumbai Suburban,Maharashtra
400076,Andheri East Sub-Post Office #7,Mumbai Suburban,Maharashtra
400077,Andheri East Sub-Post Office #8,Mumbai Suburban,Maharashtra
400078,Andheri East Sub-Post Office #9,Mumbai Suburban,Maharashtra
400079,Andheri East Sub-Post Office #10,Mumbai Suburban,Maharashtra
400080,Andheri East Sub-Post Office #11,Mumbai Suburban,Maharashtra
400081,Andheri East Sub-Post Office #12,Mumbai Suburban,Maharashtra
400082,Andheri East Sub-Post Office #13,Mumbai Suburban,Maharashtra
400083,Andheri East Sub-Post Office #14,Mumbai Suburban,Maharashtra
400084,Powai Sub-Post Office #8,Mumbai Suburban,Maharashtra
400085,Powai Sub-Post Office #9,Mumbai Suburban,Maharashtra
400086,Powai Sub-Post Office #10,Mumbai Suburban,Maharashtra
400087,Powai Sub-Post Office #11,Mumbai Suburban,Maharashtra
400088,Powai Sub-Post Office #12,Mumbai Suburban,Maharashtra
400089,Powai Sub-Post Office #13,Mumbai Suburban,Maharashtra
400090,Powai Sub-Post Office #14,Mumbai Suburban,Maharashtra
400094,Mumbai Airport SO Sub-Post Office #5,Mumbai Suburban,Maharashtra
400095,Mumbai Airport SO Sub-Post Office #4,Mumbai Suburban,Maharashtra
400096,Mumbai Airport SO Sub-Post Office #3,Mumbai Suburban,Maharashtra
400097,Mumbai Airport SO Sub-Post Office #2,Mumbai Suburban,Maharashtra
400098,Mumbai Airport SO Sub-Post Office #1,Mumbai Suburban,Maharashtra
400100,Mumbai Airport SO Sub-Post Office #1,Mumbai Suburban,Maharashtra
400101,Mumbai Airport SO Sub-Post Office #2,Mumbai Suburban,Maharashtra
400102,Mumbai Airport SO Sub-Post Office #3,Mumbai Suburban,Maharashtra
400103,Mumbai Airport SO Sub-Post Office #4,Mumbai Suburban,Maharashtra
400104,Mumbai Airport SO Sub-Post Office #5,Mumbai Suburban,Maharashtra
400105,Mumbai Airport SO Sub-Post Office #6,Mumbai Suburban,Maharashtra
400106,Mumbai Airport SO Sub-Post Office #7,Mumbai Suburban,Maharashtra
400107,Mumbai Airport SO Sub-Post Office #8,Mumbai Suburban,Maharashtra
400108,Mumbai Airport SO Sub-Post Office #9,Mumbai Suburban,Maharashtra
400109,Mumbai Airport SO Sub-Post Office #10,Mumbai Suburban,Maharashtra
400110,Mumbai Airport SO Sub-Post Office #11,Mumbai Suburban,Maharashtra
400111,Mumbai Airport SO Sub-Post Office #12,Mumbai Suburban,Maharashtra
400112,Mumbai Airport SO Sub-Post Office #13,Mumbai Suburban,Maharashtra
400113,Mumbai Airport SO Sub-Post Office #14,Mumbai Suburban,Maharashtra
410996,Pune GPO Sub-Post Office #5,Pune,Maharashtra
410997,Pune GPO Sub-Post Office #4,Pune,Maharashtra
410998,Pune GPO Sub-Post Office #3,Pune,Maharashtra
410999,Pune GPO Sub-Post Office #2,Pune,Maharashtra
411000,Pune GPO Sub-Post Office #1,Pune,Maharashtra
411002,Pune GPO Sub-Post Office #1,Pune,Maharashtra
411003,Pune GPO Sub-Post Office #2,Pune,Maharashtra
411004,Pune GPO Sub-Post Office #3,Pune,Maharashtra
411005,Pune GPO Sub-Post Office #4,Pune,Maharashtra
411006,Pune GPO Sub-Post Office #5,Pune,Maharashtra
411007,Pune GPO Sub-Post Office #6,Pune,Maharashtra
411008,Pune GPO Sub-Post Office #7,Pune,Maharashtra
411009,Pune GPO Sub-Post Office #8,Pune,Maharashtra
411010,Pune GPO Sub-Post Office #9,Pune,Maharashtra
411011,Pune GPO Sub-Post Office #10,Pune,Maharashtra
411012,Pune GPO Sub-Post Office #11,Pune,Maharashtra
411013,Pune GPO Sub-Post Office #12,Pune,Maharashtra
411014,Pune GPO Sub-Post Office #13,Pune,Maharashtra
411015,Pune GPO Sub-Post Office #14,Pune,Maharashtra
411016,Viman Nagar Sub-Post Office #2,Pune,Maharashtra
411017,Viman Nagar Sub-Post Office #3,Pune,Maharashtra
411018,Viman Nagar Sub-Post Office #4,Pune,Maharashtra
411019,Viman Nagar Sub-Post Office #5,Pune,Maharashtra
411020,Viman Nagar Sub-Post Office #6,Pune,Maharashtra
411021,Viman Nagar Sub-Post Office #7,Pune,Maharashtra
411022,Viman Nagar Sub-Post Office #8,Pune,Maharashtra
411023,Viman Nagar Sub-Post Office #9,Pune,Maharashtra
411024,Viman Nagar Sub-Post Office #10,Pune,Maharashtra
411025,Viman Nagar Sub-Post Office #11,Pune,Maharashtra
411026,Viman Nagar Sub-Post Office #12,Pune,Maharashtra
411027,Viman Nagar Sub-Post Office #13,Pune,Maharashtra
411028,Viman Nagar Sub-Post Office #14,Pune,Maharashtra
411040,Baner Sub-Post Office #5,Pune,Maharashtra
411041,Baner Sub-Post Office #4,Pune,Maharashtra
411042,Baner Sub-Post Office #3,Pune,Maharashtra
411043,Baner Sub-Post Office #2,Pune,Maharashtra
411044,Baner Sub-Post Office #1,Pune,Maharashtra
411046,Baner Sub-Post Office #1,Pune,Maharashtra
411047,Baner Sub-Post Office #2,Pune,Maharashtra
411048,Baner Sub-Post Office #3,Pune,Maharashtra
411049,Baner Sub-Post Office #4,Pune,Maharashtra
411050,Baner Sub-Post Office #5,Pune,Maharashtra
411051,Baner Sub-Post Office #6,Pune,Maharashtra
411052,Baner Sub-Post Office #7,Pune,Maharashtra
411053,Baner Sub-Post Office #8,Pune,Maharashtra
411054,Baner Sub-Post Office #9,Pune,Maharashtra
411055,Baner Sub-Post Office #10,Pune,Maharashtra
411056,Baner Sub-Post Office #11,Pune,Maharashtra
411057,Baner Sub-Post Office #12,Pune,Maharashtra
411058,Baner Sub-Post Office #13,Pune,Maharashtra
411059,Baner Sub-Post Office #14,Pune,Maharashtra
